,text,true_label,predicted_label
0,"I just asked Samantha if this activity is timed or if we need to spend a certain amount of time in the chat, Samantha said we can take as long as we want",Procedure,Social
1,Yes I found this by luck...LOL!,Deliberation,Social
2,I liked what you mentioned earlier Kyra,Seminar,Social
3,"I'd rather be sad for a little while that the person I loved married someone else, than let them get killed. ",Imaginative,Seminar
4,I tried them all at once and it told me wrong lol,Deliberation,Social
5,is that too much?,Seminar,Social
6,Who knows? ,Seminar,Other
7,"The text describes the anxiety of being in a huge stadium with a roaring crowd and the fear of being killed horribly by a tiger, ",Seminar,Other
8,"Hello Sandra Coleman, I think it's a good point you made that the King did not consider his daughter's feelings when he made her lover enter the arena. It does seem that when he caught them, it was immediately understood that the lover would have to put his life on the line. For that reason and his barbaric nature that is quoted a lot, I also believe he would make his daughter face her fate in the King's arena.",Seminar,Deliberation
9,I know live without him,Deliberation,Social
10,I agree with Cassandra's noticing ,Seminar,Other
11,w,Seminar,Other
12,"I think the tiger was behind the door. Mostly because of the princess being described as ""hot-blooded and semi-barbaric.""",Seminar,Imaginative
13,That's a creative idea!,Seminar,Social
14,As for the second question I believe that the king would try to cover up the fact she broke the law. I only say that because if he was that mad because someone was her lover I doubt he would send her to die. He would probably rather punish her in private.,Seminar,Deliberation
15,(I've been playing dnd too much and it has influenced my writing),Social,Other
16,"Part Two: I think if the King discovered the truth and that the Princess had broken the law, she would be sent to the same fate as her lover. Having to choose between the two  he would ultimately make her choose which door just like other so-called criminals."" doors. The King thinks himself fair and seems to care a great deal about maintaining his just"" rule and appearance. I do think that even if he loves his daughter",Seminar,Imaginative
17,I don't think the father would put his daughter through the same system of justice. I wonder if he would even be all the upset though - because either way he is rid of the man causing him problems - either to death or to be married off to someone else.,Seminar,Unknown
18,I am late to the discussion ,Procedure,Social
19,*would not let the princess break the law in the first place.,Seminar,Other
20,I like it,Deliberation,Social
21,"So the top is for chatting and the bottom is for responding, I believe.",Deliberation,Social
22,Submitted,Deliberation,Other
23,That's exactly what I think as well.,Seminar,Social
24,P1: I believe the tiger is behind the door.,Seminar,Other
25,att,Seminar,Other
26,"Ok, that's how I understand it as well. Let's wait a few more minutes to give Julie a chance to join us. Sound good?",Procedure,Deliberation
27,Did you guys already read the story? It won't move past the part of four questions for me.,UX,Seminar
28,And that's true! ,Imaginative,Social
29,Oh that would be a good punishment for her!,Seminar,Social
30, Would the king even entertain that idea given it is his daughter?,Seminar,Deliberation
31,What would happen then?,Seminar,Imaginative
32,I'm not sure. They're probably equally beautiful and just jealous :),Seminar,Social
33,I think the king would subject her to the same law as everyone else and expect her fate to be decided in the arena.,Seminar,Imaginative
34,"I also got the sense that she would point her lover to the tiger's door, but now the more that I think about it, I think she would send him to the other woman.",Seminar,Unknown
35,"As for the King, he will likely send his daughter to face the same punishment as her lover. As a King, he should treat all lawbreaking the same. However, I wonder if he will crack and pull the same trick that the princess had with her lover or if he will remain firm with his decision.",Seminar,Deliberation
36,Good idea.,Seminar,Social
37,He sentences her to the same trial.,Seminar,Deliberation
38,"Okay, me too! Sorry there's a bit of a delay on my end.",UX,Social
39,"I sent an email to the coordinator and I hope to hear back from them, but I wouldn't mind setting up a discussion in our class page too",Procedure,Social
40,I would feel guilty for the rest of my life.,Imaginative,Deliberation
41,"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. ",Deliberation,Seminar
42,It doesn't matter the combo of the questions,UX,Other
43," Personally, I would save him. ",Imaginative,Other
44,she was smiling by the end and the book told me i did well,Deliberation,Other
45,I'm not sure what you mean by the final question. Once I put in the 4 questions it let me finish reading the last two pages.,UX,Unknown
46,"I am on,",Procedure,Social
47,"Oh, sorry! Yes I read it",Seminar,Social
48,does this mean we are barbaric too?,Imaginative,Social
49,"Perfect, we are all here.",Procedure,Social
50,Good point you made Rebecca,Seminar,Social
51,So did I. Do you think they are in another course?,UX,Social
52,"I feel the flow doesn't entirely match the original story, but I felt it was awkwardly written and okay. We can add (ending) before it?",Deliberation,Seminar
53,I can't see when people are online but I can see that you've checked the book recently,UX,Unknown
54,...,Seminar,Unknown
55,I agree that the princess could just banish the new couple away too. Do we have to agree on a single ending?,Seminar,Deliberation
56,"I think she tells him to go to the right but he goes to the left, finding the lady behind the door. In that moment realizes that she led him to his death. The Princess then has to face the fact that he found out she would rather see him dead than with the lady.",Seminar,Imaginative
57,I don't think I should have gone outside this platform to Google the book since this is supposed to be a discussion between us via this platform. Sorry about that.,Deliberation,Other
58,"If the secret was shared with the community, I also think that it would be her informant that would be punished.",Seminar,Deliberation
59,"Anna Jones, this is what I was thinking. If you really loved him you wouldn’t allow that. Alexandra, I was leaning toward the tiger at first because of the descriptions you gave. The apple doesn’t fall far from the tree and all that. 🙂",Seminar,Social
