,predicted,ground_truth,predicted_text,ground_truth_text,text
0,5,3,Social,Procedure,"I just asked Samantha if this activity is timed or if we need to spend a certain amount of time in the chat, Samantha said we can take as long as we want"
1,4,4,Seminar,Seminar,That's what I thought to or how I interpreted the ending
2,4,4,Seminar,Seminar,Hey Ashley Peterson! I also wanted to mention the story mention the King's barbaric nature numerous times so it is highly likely that he would punish his daughter.
3,5,0,Social,Deliberation,Yes I found this by luck...LOL!
4,4,4,Seminar,Seminar,"Ana, I agree with you that the king is so adamant that his system is perfect that he would subject his daughter to it. I think he is somewhat blinded by his own importance, and feels that as king he should also be in charge of everyone's fate.  because if he truly loved her he would not have sent the one man that she loved into the arena. He would have moved mountains to make her happy"
5,4,4,Seminar,Seminar,"I certainly hoped that she was steering her lover away from the tiger, but can see how she would not want to see him with another woman based on the jealousy discussed above."
6,4,4,Seminar,Seminar,Based on the princess' description I had almost expected her to not make any motion towards the door. I assumed she would take the same 'let Fate decide' attitude as the king
7,5,4,Social,Seminar,I liked what you mentioned earlier Kyra
8,4,1,Seminar,Imaginative,"I'd rather be sad for a little while that the person I loved married someone else, than let them get killed. "
9,5,0,Social,Deliberation,I tried them all at once and it told me wrong lol
10,5,4,Social,Seminar,is that too much?
11,2,4,Other,Seminar,Who knows? 
12,1,4,Imaginative,Seminar,"The text describes the anxiety of being in a huge stadium with a roaring crowd and the fear of being killed horribly by a tiger, "
13,4,4,Seminar,Seminar,"Hello Sandra Coleman, I think it's a good point you made that the King did not consider his daughter's feelings when he made her lover enter the arena. It does seem that when he caught them, it was immediately understood that the lover would have to put his life on the line. For that reason and his barbaric nature that is quoted a lot, I also believe he would make his daughter face her fate in the King's arena."
14,5,5,Social,Social,Hello. 
15,5,0,Social,Deliberation,I know live without him
16,2,4,Other,Seminar,I agree with Cassandra's noticing 
17,2,4,Other,Seminar,w
18,4,4,Seminar,Seminar,"I think the tiger was behind the door. Mostly because of the princess being described as ""hot-blooded and semi-barbaric."""
19,5,4,Social,Seminar,That's a creative idea!
20,5,5,Social,Social,"Okay, cool"
21,0,4,Deliberation,Seminar,As for the second question I believe that the king would try to cover up the fact she broke the law. I only say that because if he was that mad because someone was her lover I doubt he would send her to die. He would probably rather punish her in private.
22,2,5,Other,Social,(I've been playing dnd too much and it has influenced my writing)
23,4,4,Seminar,Seminar,"Part Two: I think if the King discovered the truth and that the Princess had broken the law, she would be sent to the same fate as her lover. Having to choose between the two  he would ultimately make her choose which door just like other so-called criminals."" doors. The King thinks himself fair and seems to care a great deal about maintaining his just"" rule and appearance. I do think that even if he loves his daughter"
24,0,4,Deliberation,Seminar,I don't think the father would put his daughter through the same system of justice. I wonder if he would even be all the upset though - because either way he is rid of the man causing him problems - either to death or to be married off to someone else.
25,5,3,Social,Procedure,I am late to the discussion 
26,4,4,Seminar,Seminar,"that the lady is behind the door; that the princess might be able to also feel that to take another human life, even when that life has so greatly wronged you, is far worse than to "
27,2,4,Other,Seminar,*would not let the princess break the law in the first place.
28,5,0,Social,Deliberation,I like it
29,5,0,Social,Deliberation,"So the top is for chatting and the bottom is for responding, I believe."
30,2,0,Other,Deliberation,Submitted
31,4,4,Seminar,Seminar,"Just realized I never answered the second question. I also agree that while the king may feel a bit of pride for his daughter, he holds his beliefs in his chance of fate style of justice so closely to his chest, so he most likely made an example out of his daughter as well."
32,5,4,Social,Seminar,That's exactly what I think as well.
33,1,4,Imaginative,Seminar,P1: I believe the tiger is behind the door.
34,2,4,Other,Seminar,att
35,2,2,Other,Other,w
36,4,4,Seminar,Seminar,"Part 2
I believe that when the King discovers that his daughter had broken the law by finding out what was behind the door and then signaling to her lover which one to open, he would be in infuriated. The story stated that he was extremely close to the Princess and resented her se ret relationship.  I believe that if the Princess saved her lover from the tiger, he would retry him and put a tiger behind both doors. The Story stated that the King was barbaric in nature so I feel he would make the Princess "
37,4,4,Seminar,Seminar,"Part 2: Her father gets extremely upset with her for signaling her lover behind his back. He then forgives her because she has proven to be as strong as the rest of her family. Understanding that if she can't have him, no else can't either."
38,0,3,Deliberation,Procedure,"Ok, that's how I understand it as well. Let's wait a few more minutes to give Julie a chance to join us. Sound good?"
39,0,0,Deliberation,Deliberation,So how do you guys think we should end it?
40,4,6,Seminar,UX,Did you guys already read the story? It won't move past the part of four questions for me.
41,5,1,Social,Imaginative,And that's true! 
42,5,5,Social,Social,Sorry just getting to everyone's messages
43,5,4,Social,Seminar,Oh that would be a good punishment for her!
44,4,4,Seminar,Seminar, Would the king even entertain that idea given it is his daughter?
45,0,0,Deliberation,Deliberation,Okay so maybe we could each write out an answer for the first part of the question and then we edit the response into one?
46,1,4,Imaginative,Seminar,What would happen then?
47,4,4,Seminar,Seminar,He was tied to his own idealistic principles?
48,5,4,Social,Seminar,I'm not sure. They're probably equally beautiful and just jealous :)
49,6,6,UX,UX,"Rebecca, it was a bit glitchy with me at times and I refreshed and logged back in"
50,4,4,Seminar,Seminar,I also found the story confusing and I had to re-read it several times
51,4,4,Seminar,Seminar,My initial thoughts were that the princess knows what's behind each of the doors because the King had told her or she figured it out from overhearing him talk about the punishment.
52,1,4,Imaginative,Seminar,I think the king would subject her to the same law as everyone else and expect her fate to be decided in the arena.
53,4,4,Seminar,Seminar,"I also got the sense that she would point her lover to the tiger's door, but now the more that I think about it, I think she would send him to the other woman."
54,5,5,Social,Social,"Yes, thank you too. Good job everyone. :)"
