,text,true_label,predicted_label
0,"I just asked Samantha if this activity is timed or if we need to spend a certain amount of time in the chat, Samantha said we can take as long as we want",Procedure,Unknown
1,That's what I thought to or how I interpreted the ending,Seminar,Unknown
2,Hey Ashley Peterson! I also wanted to mention the story mention the King's barbaric nature numerous times so it is highly likely that he would punish his daughter.,Seminar,Unknown
3,Yes I found this by luck...LOL!,Deliberation,Unknown
4,"Ana, I agree with you that the king is so adamant that his system is perfect that he would subject his daughter to it. I think he is somewhat blinded by his own importance, and feels that as king he should also be in charge of everyone's fate.  because if he truly loved her he would not have sent the one man that she loved into the arena. He would have moved mountains to make her happy",Seminar,Unknown
5,"I certainly hoped that she was steering her lover away from the tiger, but can see how she would not want to see him with another woman based on the jealousy discussed above.",Seminar,Unknown
6,Based on the princess' description I had almost expected her to not make any motion towards the door. I assumed she would take the same 'let Fate decide' attitude as the king,Seminar,Unknown
7,I liked what you mentioned earlier Kyra,Seminar,Unknown
8,"I'd rather be sad for a little while that the person I loved married someone else, than let them get killed. ",Imaginative,Unknown
9,I tried them all at once and it told me wrong lol,Deliberation,Unknown
10,is that too much?,Seminar,Unknown
11,Who knows? ,Seminar,Unknown
12,"The text describes the anxiety of being in a huge stadium with a roaring crowd and the fear of being killed horribly by a tiger, ",Seminar,Unknown
13,"Hello Sandra Coleman, I think it's a good point you made that the King did not consider his daughter's feelings when he made her lover enter the arena. It does seem that when he caught them, it was immediately understood that the lover would have to put his life on the line. For that reason and his barbaric nature that is quoted a lot, I also believe he would make his daughter face her fate in the King's arena.",Seminar,Unknown
14,Hello. ,Social,Unknown
15,I know live without him,Deliberation,Unknown
16,I agree with Cassandra's noticing ,Seminar,Unknown
17,w,Seminar,Unknown
18,"I think the tiger was behind the door. Mostly because of the princess being described as ""hot-blooded and semi-barbaric.""",Seminar,Unknown
19,That's a creative idea!,Seminar,Unknown
20,"Okay, cool",Social,Unknown
21,As for the second question I believe that the king would try to cover up the fact she broke the law. I only say that because if he was that mad because someone was her lover I doubt he would send her to die. He would probably rather punish her in private.,Seminar,Unknown
22,(I've been playing dnd too much and it has influenced my writing),Social,Unknown
23,"Part Two: I think if the King discovered the truth and that the Princess had broken the law, she would be sent to the same fate as her lover. Having to choose between the two  he would ultimately make her choose which door just like other so-called criminals."" doors. The King thinks himself fair and seems to care a great deal about maintaining his just"" rule and appearance. I do think that even if he loves his daughter",Seminar,Unknown
24,I don't think the father would put his daughter through the same system of justice. I wonder if he would even be all the upset though - because either way he is rid of the man causing him problems - either to death or to be married off to someone else.,Seminar,Unknown
25,I am late to the discussion ,Procedure,Unknown
26,"that the lady is behind the door; that the princess might be able to also feel that to take another human life, even when that life has so greatly wronged you, is far worse than to ",Seminar,Unknown
27,*would not let the princess break the law in the first place.,Seminar,Unknown
28,I like it,Deliberation,Unknown
29,"So the top is for chatting and the bottom is for responding, I believe.",Deliberation,Unknown
30,Submitted,Deliberation,Unknown
31,"Just realized I never answered the second question. I also agree that while the king may feel a bit of pride for his daughter, he holds his beliefs in his chance of fate style of justice so closely to his chest, so he most likely made an example out of his daughter as well.",Seminar,Unknown
32,That's exactly what I think as well.,Seminar,Unknown
33,P1: I believe the tiger is behind the door.,Seminar,Unknown
34,att,Seminar,Unknown
35,w,Other,Unknown
36,"Part 2
I believe that when the King discovers that his daughter had broken the law by finding out what was behind the door and then signaling to her lover which one to open, he would be in infuriated. The story stated that he was extremely close to the Princess and resented her se ret relationship.  I believe that if the Princess saved her lover from the tiger, he would retry him and put a tiger behind both doors. The Story stated that the King was barbaric in nature so I feel he would make the Princess ",Seminar,Unknown
37,"Part 2: Her father gets extremely upset with her for signaling her lover behind his back. He then forgives her because she has proven to be as strong as the rest of her family. Understanding that if she can't have him, no else can't either.",Seminar,Unknown
38,"Ok, that's how I understand it as well. Let's wait a few more minutes to give Julie a chance to join us. Sound good?",Procedure,Unknown
39,So how do you guys think we should end it?,Deliberation,Unknown
40,Did you guys already read the story? It won't move past the part of four questions for me.,UX,Unknown
41,And that's true! ,Imaginative,Unknown
42,Sorry just getting to everyone's messages,Social,Unknown
43,Oh that would be a good punishment for her!,Seminar,Unknown
44, Would the king even entertain that idea given it is his daughter?,Seminar,Unknown
45,Okay so maybe we could each write out an answer for the first part of the question and then we edit the response into one?,Deliberation,Unknown
46,What would happen then?,Seminar,Unknown
47,He was tied to his own idealistic principles?,Seminar,Unknown
48,I'm not sure. They're probably equally beautiful and just jealous :),Seminar,Unknown
49,"Rebecca, it was a bit glitchy with me at times and I refreshed and logged back in",UX,Unknown
50,I also found the story confusing and I had to re-read it several times,Seminar,Unknown
51,My initial thoughts were that the princess knows what's behind each of the doors because the King had told her or she figured it out from overhearing him talk about the punishment.,Seminar,Unknown
52,I think the king would subject her to the same law as everyone else and expect her fate to be decided in the arena.,Seminar,Unknown
